Commit URL,File Name,Category,Project Name,Project Types
https://github.com/Neufund/platform-contracts/commit/6c1639a346a40ac7eff8e1bd57b46688dc6fe1a0,contracts/Company/Extras/ExitController.sol,Unchecked Call Return Value,Neufund,Lending
https://github.com/Seedifyfund/Launchpad-smart-contract/commit/372798954c4402b0c22b36d5a077c2bd9688da7e,contracts/SeedifyFund/SeedifyFund.sol,Underflow/Overflow,Seedifyfund,Launchpad
https://github.com/Seedifyfund/Launchpad-smart-contract/commit/372798954c4402b0c22b36d5a077c2bd9688da7e,seedifyFundSingleFile.sol,Underflow/Overflow,Seedifyfund,Launchpad
https://github.com/bloxapp/ssv-network/commit/0ab954ec24fc0b32b51c278958c3d51480940f1a,contracts/libraries/Types.sol,Underflow/Overflow,SSV Network,Staking
https://github.com/pedrosgmagalhaes/drex_smartcontracts/commit/159c736a0e5683c7d71c890e10f4071fd1c294b2,contracts/CBDCAccessControl.sol,Unprotected Ether Withdrawal,RealDigital Smart Contract,token
https://github.com/ethereum/dapp-bin/commit/2849dab39f874797ba65557378c8dc2e1a76e448,wallet/wallet.sol,Unprotected Ether Withdrawal,dapp-bin,Services
https://github.com/coinbase/nft-dapp-starter-kit/commit/a5c6fc1139f10f143eed535a8a21eedbfdf7d3cc,smart-contracts/contracts/nft.sol,Underflow/Overflow,NFT Dapp Starter Kit ,Services
https://github.com/Rishabh42/HealthCare-Insurance-Ethereum/commit/4d264217816e63d1f0c49895ac872e8e07b748e4,contracts/HealthCare.sol,Unprotected Ether Withdrawal,Medical Insurance claiming DApp ,others
https://github.com/0xProject/0x-monorepo/commit/063d6ff24e7b3a135e3b232b76ffae3c9a5f6a39,contracts/staking/contracts/src/libs/LibFixedMath.sol,Underflow/Overflow,0x protocol monorepo,services
https://github.com/0xProject/0x-monorepo/commit/a09cd03ce61036e2659a1af6577a74bb74dc6b5e,contracts/staking/contracts/src/libs/LibFixedMath.sol,Underflow/Overflow,0x protocol monorepo,services
https://github.com/0xProject/0x-monorepo/commit/c68278d824c3f50c52c074f6b1832b97ccd8d7b2,contracts/asset-proxy/contracts/src/ERC1155Proxy.sol,Underflow/Overflow,0x protocol monorepo,services
https://github.com/0xProject/0x-monorepo/commit/795a357595b94006a2f1fd6313bdf02103f1b6f5,packages/contracts/src/contracts/current/protocol/Exchange/MixinWrapperFunctions.sol,Unchecked Call Return Value,0x protocol monorepo,services
https://github.com/0xProject/0x-monorepo/commit/1400ceb4e82a73be6ccefebc27d98442ae1c3748,contracts/exchange/contracts/test/ReentrancyTester.sol,Reentrancy,0x protocol monorepo,services
https://github.com/0xProject/0x-monorepo/commit/9cda9f69cdf3df1bb2ecbaa67fb20577db51f1fa,contracts/zero-ex/contracts/src/features/MetaTransactions.sol,Reentrancy,0x protocol monorepo,services
https://github.com/0xProject/0x-monorepo/commit/6f88e9bdbdd8f44c45053b8c17c84411f9499084,packages/contracts/src/2.0.0/protocol/Exchange/MixinWrapperFunctions.sol,Reentrancy,0x protocol monorepo,services
https://github.com/0xProject/0x-monorepo/commit/5dd686f22fd028c90ee53b5706d9db71764e6bb4,contracts/zero-ex/contracts/src/features/MetaTransactions.sol,Reentrancy,0x protocol monorepo,services
https://github.com/AdChain/AdChainRegistry/commit/802cd178a930b4b76edd51a836d81c22113bc109,contracts/Registry.sol,Unprotected Ether Withdrawal,adChain registry,services
https://github.com/alpaca-finance/alpaca-stablecoin/commit/2b77c6e18976ca9e18c9bd6befb37efd92e9f0fb,contracts/6.12/stablecoin-core/LiquidationEngine.sol,Underflow/Overflow,Alpaca Stablecoin,CDP
https://github.com/alpaca-finance/alpaca-stablecoin/commit/3264f098bafcbd42e08d5db93c4986005e7dfb07,contracts/6.12/stablecoin-core/LiquidationEngine.sol,Underflow/Overflow,Alpaca Stablecoin,CDP
